icon,name,description,parent,requirements,namespace,rewards
,Beaconator,Bring a beacon to full power,Bring Home the Beacon,Be within a 20×20×14 cuboid centered on a beacon block when it realizes it is being powered by a size 4 pyramid.,nether/create_full_beacon,—
,How Did We Get Here?,Have every effect applied at the same time,A Furious Cocktail,"Have all of these 26 effects applied to the player at the same time. Beacon effects also count for the purposes of this advancement. Other status effects, if any, may be applied to the player, but are ignored for this advancement.Note: This is a hidden advancement, meaning that it can be viewed by the player only after completing it.",nether/all_effects,1000 experience
,The End,Or the beginning?,—,Enter the End dimension.,end/root,—
,Free the End,Good luck,The End,Kill the ender dragon.,end/kill_dragon,—
,The Next Generation,Hold the Dragon Egg,Free the End,Have a dragon egg in your inventory.,end/dragon_egg,—
,Remote Getaway,Escape the island,Free the End,Throw an ender pearl through or walk into an end gateway.,end/enter_end_gateway,—
,The End... Again...,Respawn the Ender Dragon,Free the End,Summon an ender dragon using end crystals.,end/respawn_dragon,—
,You Need a Mint,Collect dragon's breath in a glass bottle,Free the End,Have a bottle of dragon's breath in your inventory.,end/dragon_breath,—
,The City at the End of the Game,"Go on in, what could happen?",Remote Getaway,Enter an end city.,end/find_end_city,—
,Sky's the Limit,Find elytra,The City at the End of the Game,Have a pair of elytra in your inventory.,end/elytra,—
,Great View From Up Here,Levitate up 50 blocks from the attacks of a Shulker,The City at the End of the Game,Move a distance of 50 blocks with the Levitation effect applied.,end/levitate,50 experience
,Adventure,"Adventure, exploration, and combat",—,"Kill any entity, or be killed by any entity.",adventure/root,—
,Voluntary Exile,Kill a raid captain.Maybe consider staying away from villages for the time being...,Adventure,Kill an entity in the #raiders entity tag wearing an ominous banner.,adventure/voluntary_exile,—
,Monster Hunter,Kill any hostile monster,Adventure,"Kill one of these 34 mobs. Other mobs, if any, may be killed, but are ignored for this advancement.",adventure/kill_a_mob,—
,What a Deal!,Successfully trade with a Villager,Adventure,"Take an item from a villager or wandering trader's trading output slot, and put it in your inventory.",adventure/trade,—
,Sticky Situation,Jump into a Honey Block to break your fall,Adventure,Collide on a horizontal side of a honey block when in air.,adventure/honey_block_slide,—
,Ol' Betsy,Shoot a crossbow,Adventure,—,adventure/ol_betsy,—
,Sweet Dreams,Sleep in a bed to change your respawn point,Adventure,"Lie down in a bed. The advancement is granted as soon as the player is in the bed, even if the player does not successfully sleep.",adventure/sleep_in_bed,—
,Hero of the Village,Successfully defend a village from a raid,Voluntary Exile,—,adventure/hero_of_the_village,100 experience
,A Throwaway Joke,Throw a trident at something.Note: Throwing away your only weapon is not a good idea.,Monster Hunter,Hit an entity with a thrown trident.,adventure/throw_trident,—
,Take Aim,Shoot something with an arrow,Monster Hunter,"Using a bow or a crossbow, shoot an entity with an arrow, tipped arrow, or spectral arrow.",adventure/shoot_arrow,—
,Monsters Hunted,Kill one of every hostile monster,Monster Hunter,"Kill each of these 34 mobs. Other mobs, if any, may be killed, but are ignored for this advancement.",adventure/kill_all_mobs,100 experience
,Postmortal,Use a Totem of Undying to cheat death,Monster Hunter,Activate a totem of undying by taking fatal damage.,adventure/totem_of_undying,—
,Hired Help,Summon an Iron Golem to help defend a village,What a Deal!,Summon an iron golem.,adventure/summon_iron_golem,—
,"Two Birds, One Arrow",Kill two Phantoms with a piercing arrow,Ol' Betsy,Use a crossbow enchanted with Piercing to kill two phantoms.,adventure/two_birds_one_arrow,65 experience
,Who's the Pillager Now?,Give a Pillager a taste of their own medicine,Ol' Betsy,Kill a pillager with a crossbow.,adventure/whos_the_pillager_now,—
,Arbalistic,Kill five unique mobs with one crossbow shot,Ol' Betsy,"Note: This is a hidden advancement, meaning that it can be viewed by the player only after completing it.",adventure/arbalistic,85 experience
,Adventuring Time,Discover every biome,Sweet Dreams,"Visit all of these 42 biomes. The advancement is only for Overworld biomes. Other biomes, if any, may also be visited, but are ignored for this advancement.",adventure/adventuring_time,500 experience
,Very Very Frightening,Strike a Villager with lightning,A Throwaway Joke,Hit a villager with lightning created by a trident with the Channeling enchantment.,adventure/very_very_frightening,—
,Sniper Duel,Kill a Skeleton from at least 50 meters away,Take Aim,Kill a skeleton with a projectile while being at least 50 blocks away horizontally.,adventure/sniper_duel,50 experience
,Bullseye,Hit the bullseye of a Target block from at least 30 meters away,Take Aim,Shoot the center of a target with a projectile from at least 30 blocks away horizontally.,adventure/bullseye,50 experience
,Husbandry,The world is full of friends and food,—,Eat anything that can be eaten.,husbandry/root,—
,Bee Our Guest,Use a Campfire to collect Honey from a Beehive using a Bottle without aggravating the bees,Husbandry,Use a bottle on a beehive or bee nest while not angering the bees inside.,husbandry/safely_harvest_honey,—
,The Parrots and the Bats,Breed two animals together,Husbandry,—,husbandry/breed_an_animal,—
,Best Friends Forever,Tame an animal,Husbandry,—,husbandry/tame_an_animal,—
,Fishy Business,Catch a fish,Husbandry,Use a fishing rod to catch a fish.,husbandry/fishy_business,—
,Total Beelocation,"Move a Bee Nest, with 3 bees inside, using Silk Touch",Husbandry,—,husbandry/silk_touch_nest,—
,A Seedy Place,Plant a seed and watch it grow,Husbandry,"Plant one of these 5 crops. Other crops and plants, if any, can be planted, but are ignored for this advancement.",husbandry/plant_seed,—
,Two by Two,Breed all the animals!,The Parrots and the Bats,"Breed pairs of each of these 19 mobs. A trader llama does not count as a llama, and a mule must be the result of breeding a horse and a donkey for this advancement as they are not breedable together. Other breedable mobs, if any, can be bred, but are ignored for this advancement.",husbandry/bred_all_animals,100 experience
,A Complete Catalogue,Tame all cat variants!,Best Friends Forever,"Tame each of these 11 cat variants. Other cat variants, if any, can be tamed, but are ignored for this advancement.",husbandry/complete_catalogue,50 experience
,Tactical Fishing,Catch a fish... without a fishing rod!,Fishy Business,Have a bucket of fish in your inventory.,husbandry/tactical_fishing,—
,A Balanced Diet,"Eat everything that is edible, even if it's not good for you",A Seedy Place,"Eat each of these 39 foods. Other foods, if any, can be eaten, but are ignored for this advancement.",husbandry/balanced_diet,100 experience
,Serious Dedication,"Use a Netherite ingot to upgrade a hoe, and then reevaluate your life choices",A Seedy Place,Have a netherite hoe in your inventory.,husbandry/obtain_netherite_hoe,100 experience
